School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
704,Haeata Community Campus,03 930 0110,,,Andy Kai Fong ,http://www.haeata.school.nz,240 Breezes Road,Wainoni,Christchurch,P O Box 15071,Aranui,Christchurch,8643,Main Urban Area,Composite,Not Applicable,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Wainoni,Burwood Ward,,,172.69638,-43.516625,1,740,260,321,128,27,3,1,0
706,Te Pa o Rakaihautu,03 381 0899,,,Tauira Takurua,http://www.rakaihautu.com,7 McLean Street,Linwood,Christchurch,P O Box 27131,Shirley,Christchurch,8013,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Linwood North,Linwood Ward,,,172.672461,-43.52931,4,235,5,228,2,0,0,0,0
707,ACG Tauranga,07 213 0100,07 213 0109,,Shawn Hutchinson,http://www.acgedu.com/nz/tauranga,6 Keenan Road,Pyes Pa,Tauranga,P O Box 15121,,Tauranga,3144,Rural Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Kaimai,Kaimai Ward,,,176.115652,-37.771596,99,160,99,18,3,19,2,6,13
708,Rototuna Junior High School,07 854 0541,,,Fraser Hill,http://www.rjhs.school.nz,Kimbrae Drive,Rototuna,Hamilton,P O Box 21116,Rototuna,Hamilton,3210,Main Urban Area,Secondary (Year 7-15),Restricted Composite (Year 7-10),State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Horsham Downs,East Ward,99132,Te Pae Here Kahui Ako Te Raki Rawhiti o Kirikiriroa,175.263098,-37.715529,10,1102,688,149,27,189,39,9,1
709,Ormiston Junior College,09 974 0140,,,Luke Sumich,http://www.ojc.school.nz,285 Ormiston Road,Flat Bush,Auckland,285 Ormiston Road,Flat Bush,Auckland,2019,Main Urban Area,Secondary (Year 7-15),Restricted Composite (Year 7-10),State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.919678,-36.967849,7,267,16,11,36,177,20,7,0
710,Rolleston Christian School,03 550 2653,,,Elizabeth Horn,http://www.rollestonchristian.school.nz,571-575 Springston Rolleston Road,,Rolleston,571 Springston Rolleston Road RD 8,Rolleston,Christchurch,7678,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99173,Christian Education Network Community of Learning,172.392912,-43.608323,9,132,79,8,3,21,16,5,0
713,Middle School West Auckland,09 972 1744,,,Alex Metzger,http://www.westauckland.school.nz/dir/index.php/,289 Lincoln Road,Henderson,Auckland,P O Box 74276,Greenlane,Auckland,1546,Main Urban Area,Restricted Composite (Year 7-10),Not Applicable,Partnership School,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Kingdale,Waitakere Ward,,,174.646114,-36.886604,99,201,23,83,84,9,2,0,0
714,Pacific Advance Secondary School,09 276 0375,,,Parehuia Enari and Falefatu Enari,http://pass.school.nz/,42 Atkinson Avenue,Otahuhu,Auckland,P O Box 22420,Otahuhu,Auckland,1062,Main Urban Area,Secondary (Year 9-15),Not Applicable,Partnership School,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Otahuhu North,Manukau Ward,,,174.844396,-36.941856,99,136,1,20,114,1,0,0,0
715,Te Kapehu Whetu - Teina,09 438 4228,,,Raewyn Tipene,http://tkw.ac.nz/,78 Tarewa Road,Morningside,Whangarei,185 Lower Dent Street,,Whangarei,110,Main Urban Area,Contributing,Not Applicable,Partnership School,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Morningside,Okara Ward,,,174.3131,-35.734183,99,105,0,105,0,0,0,0,0
716,Te Kura Maori o Waatea,0800 922 832,09 277 7090,,Tania Rangiheuea,http://www.waatea.school.nz/,31 Calthorp Close,Mangere,Auckland,P O Box 23398,Hunters Corner,Auckland,2155,Main Urban Area,Contributing,Not Applicable,Partnership School,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Favona West,Manukau Ward,,,174.801662,-36.96096,99,104,0,90,14,0,0,0,0
719,Te Kura Kaupapa Maori o Te Orini ki Ngati Awa,07 308 2010,07 304 2014,admin@tkkmteorini.school.nz,Venus Ihakara (Acting),http://www.tkkmteorini.school.nz,33 Meadow Vale,Coastlands,Whakatane,33 Meadow Vale,Coastlands,Whakatane,3120,Secondary Urban Area,Full Primary,Kura Kaupapa Maori,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Coastlands,Whakatane-Ohope Ward,,,176.941011,-37.930208,2,39,0,39,0,0,0,0,0
728,Meraki Montessori School,09 554 1583,,,Rebecca Nicholson,http://www.merakimontessori.co.nz,24a Sidwell Road,,Silverdale,189 Greenhithe Road,Greenhithe,Auckland,632,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Helensville,Te Tai Tokerau,Silverdale North,Rodney Ward,,,174.660048,-36.603609,99,42,36,2,0,2,1,1,0
730,Porangahau School,06 855 5340,,,Bridie Horsfall,http://porangahauschool.blogspot.co.nz/,58 Keppel Street,,Porangahau,58 Keppel Street RD 1,,Porangahau,4291,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Central Hawke's Bay District,Hawke's Bay Region,Napier,Hawke's Bay/Tairawhiti,Wairarapa,Ikaroa-Rawhiti,Porangahau,Aramoana-Ruahine Ward,99160,Ruahine Kahui Ako,176.617012,-40.303781,2,44,18,26,0,0,0,0,0
737,Te Kura Kaupapa Maori o Horouta Wananga,06 867 2029,,,Brucenna Gilvray-Nohotima,http://horoutawananga.nz/,30 Desmond Road,Te Hapara,Gisborne,P O Box 3090,Kaiti,Gisborne,4041,Main Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Gisborne District,Gisborne Region,Napier,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Te Hapara,Gisborne Ward,,,178.006862,-38.657548,2,173,0,173,0,0,0,0,0
738,St Francis of Assisi Catholic School,03 595 0730,,,Joanne Earl,http://www.stfrancischch.school.nz,370 Innes Road,Mairehau,Christchurch,370 Innes Road,Mairehau,Christchurch,8052,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Mairehau,Innes Ward,,,172.639393,-43.499792,7,371,287,22,13,42,7,0,0
739,Manukura,06 354 9531,,,Nathan Durie,http://www.manukura.school.nz,Kura Awa Centennial Drive,Hokowhitu,Palmerston North,P O Box 5478,Hokowhitu,Palmerston North,4441,Main Urban Area,Secondary (Year 9-15),Designated Character School,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Hokowhitu Lagoon,Area Outside Ward,,,175.629464,-40.372515,5,183,6,169,6,0,2,0,0
742,Te Kura o Te Whanau-a-Apanui,07 325 2040,,,Te Rahui August Sutherland,http://www.tekuraotewhanauaapanui.school.nz,10 Omaio School Road,,Omaio,10 Omaio School Road RD 3,,Opotiki,3199,Rural Area,Composite,Designated Character School,State,Co-Educational,Opotiki District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Cape Runaway,Coast Ward,,,177.634278,-37.814797,1,110,0,109,0,1,0,0,0
743,Holy Trinity Catholic Primary School,09 296 9039,,,Peta Lindstrom,http://www.holytrinity.school.nz,137 Airfield Road,Takanini,Auckland,P O Box 202046,Takanini,Auckland,2246,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Takanini South,Manurewa-Papakura Ward,99101,South Auckland Catholic Community of Learning,174.940735,-37.036334,3,142,19,16,48,49,7,3,0
744,Iqra Elementary,09 620 0130,,mary@iqraacademy.school.nz,,http://www.iqraacademy.school.nz,70 Carr Road,Mt Roskill,Auckland,P O Box 6377,Wellesley Street,Auckland,1141,Main Urban Area,Contributing,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Puketapapa,Auckland Region,Auckland,Auckland,Mt Roskill,Tamaki Makaurau,Hillsborough West,Albert-Eden-Roskill Ward,,,174.749854,-36.91274,99,91,2,0,1,35,45,8,0
750,Te Aratika Academy,0800 832 728,,,Casey Tapara,http://www.tearatika.academy,314 State Highway 2,,Mangateretere,P O Box 73,,Whakatu,4161,Main Urban Area,Secondary (Year 9-15),Not Applicable,Partnership School,Single Sex (Boys School),Hastings District,Hawke's Bay Region,Napier,Hawke's Bay/Tairawhiti,Tukituki,Ikaroa-Rawhiti,Whakatu,Heretaunga Ward,99203,Kahungunu Kahui Ako,176.892968,-39.616959,99,49,1,46,2,0,0,0,0
751,Te Kopuku High,07 282 0137,,,,http://www.tekopuku.school.nz/#home,70 Foreman Road,,Hamilton,P O Box 10238,Te Rapa,Hamilton,3200,Main Urban Area,Secondary (Year 7-15),Not Applicable,Partnership School,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Rotokauri,West Ward,,,175.234782,-37.75586,99,162,1,160,1,0,0,0,0
752,Summit Point School,09 973 5354,,,Rebecca Elias,http://www.summitpoint.co.nz/,1 Fred Thomas Drive,Takapuna,Auckland,1 Fred Thomas Drive,Takapuna,Auckland,622,Main Urban Area,Full Primary,School for pupils with learning/social difficulties,Private : Fully Registered,Co-Educational,Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Westlake,North Shore Ward,,,174.762704,-36.79126,99,47,43,1,0,1,1,1,0
778,The Deep Green Bush School,09 292 9439,,,,http://www.deepgreenbushschool.org,47 Moumoukai Hill Road,Papakura,Auckland,47 Moumoukai Hill Road RD 5,Papakura,Auckland,2585,Rural Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Clevedon,Franklin Ward,,,174.639951,-36.914989,,11,6,3,0,1,1,0,0
779,Waiheke Island Steiner School,09 372 2152,,,Sarah Hoult,http://waiheke.steiner.school.nz/,58 Korora Road,Oneroa,Waiheke Island,P O Box 128,,Waiheke Island,1840,Minor Urban Area,Full Primary,Not Applicable,Private : Provisionally Registered,Co-Educational,Auckland - Waiheke,Auckland Region,Auckland,Auckland,Auckland Central,Hauraki-Waikato,Waiheke Island,Waitemata and Gulf Ward,,,175.022291,-36.792387,,30,26,4,0,0,0,0,0
781,Jireh Christian School,09 836 6913,,,Sandra Bosman,http://www.jireh.school.nz,63 St Georges Road,Avondale,Auckland,63 St Georges Road,Avondale,Auckland,,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,Glenavon,Whau Ward,99210,Ki Atua hei te Kororia Kahui Ako,,,3,213,66,24,29,74,19,1,0
787,Peace Experiment,09 391 9200,,,Steven Arnold,http://www.peace.school.nz,18 Pilkington Road,Panmure,Auckland,P O Box 14041,Panmure,Auckland,1741,Main Urban Area,Secondary (Year 7-15),Not Applicable,Private : Provisionally Registered,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Mt Wellington Domain,Maungakiekie-Tamaki Ward,,,,,,15,11,1,2,1,0,0,0
831,Te Rangihakahaka Centre for Science and Technology,07 929 9640,,,Renee Gillies,https://terangihakahaka.school.nz/,Turipuku Campus 7-11 Dinsdale Street,,Rotorua,P O Box 12017,Rotorua South,Rotorua,3045,Main Urban Area,Composite,Not Applicable,Partnership School,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Rotorua,Waiariki,Mangakakahi,Area Outside Ward,,,,,,86,1,84,1,0,0,0,0
834,ADDI Enrichment Academy,07 376 5027,,,,http://www.addi.co.nz,16 Opepe Street,,Taupo,P O Box 183,,Taupo,3330,Secondary Urban Area,Composite,Not Applicable,Private : Provisionally Registered,Co-Educational,Taupo District,Waikato Region,Rotorua,Bay of Plenty/Waiariki,Taupo,Waiariki,Taupo Central,Taupo-Kaingaroa Ward,,,,,,10,7,3,0,0,0,0,0
840,Central Auckland Specialist School,09 620 7680,09 620 7793,,TRUDI BROCAS,http://www.cass.school.nz,48 Smallfield Avenue,Three Kings,Auckland,48 Smallfield Avenue,Three Kings,Auckland,1042,Main Urban Area,Special School,Not Applicable,State,Co-Educational,Auckland - Puketapapa,Auckland Region,Auckland,Auckland,Mt Roskill,Tamaki Makaurau,Three Kings,Albert-Eden-Roskill Ward,,,,,5,130,35,11,40,39,4,1,0
847,Academy for Gifted Education,,,,Anne Sturgess,https://www.giftededucation.school.nz/,Karaka House 9 Huron Street,Takapuna,Auckland,Karaka House 9 Huron Street,Takapuna,Auckland,622,Main Urban Area,Composite,Not Applicable,Private : Provisionally Registered,Co-Educational,Auckland - Devonport-Takapuna,Auckland Region,Auckland,Auckland,North Shore,Te Tai Tokerau,Takapuna Central,North Shore Ward,,,,,,15,11,2,0,0,1,1,0
848,Rocket School,,,,,http://www.rocket.school.nz,1088 State Highway 1,Pohuehue,Warkworth,P O Box 532,,Silverdale,944,Rural Area,Composite,Not Applicable,Private : Provisionally Registered,Co-Educational,Auckland - Rodney,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Tauhoa-Puhoi,Rodney Ward,,,,,,4,3,1,0,0,0,0,0
849,Ako,,,,,http://www.akospace.com,Awataha Marae 58 Akoranga Drive,Northcote,Auckland,Awataha Marae 58 Akoranga Drive,Northcote,Auckland,627,Main Urban Area,Full Primary,Not Applicable,Private : Provisionally Registered,Co-Educational,Auckland - Kaipatiki,Auckland Region,Auckland,Auckland,Northcote,Te Tai Tokerau,Tuff Crater,North Shore Ward,,,,,,11,8,1,1,1,0,0,0
1000,Ahipara School,09 409 4702,09 409 4714,,Jackie Osborne,http://www.ahipara.school.nz,Main Road,,Ahipara,P O Box 8,,Ahipara,449,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Ahipara,Te Hiku Ward,99051,Far North Community of Learning,173.153602,-35.171776,2,234,54,172,4,2,0,2,0
1001,Aranga School,09 439 0634,,admin@aranga.school.nz,Todd Warmington,http://www.aranga.school.nz/,State Highway 12,Aranga,Dargaville,State Highway 12 RD 6,,Dargaville,376,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaipara Coastal,West Coast-Central Ward,,,173.613785,-35.738759,4,25,12,12,0,1,0,0,0
1002,Arapohue School,09 439 7513,09 439 1487,admin@arapohue.school.nz,Dianna Russek,,Mititai Road,Arapohue,Dargaville,Mititai Road RD 10,,Dargaville,370,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Maungaru,West Coast-Central Ward,,,173.94475,-36.007772,2,27,16,5,6,0,0,0,0
1004,Awanui School,09 406 7309,09 406 7347,admin@awanui.school.nz,Margy Stratton,http://www.awanui.school.nz,172 State Highway 1,,Awanui,P O Box 55,,Awanui,451,Rural Area,Contributing,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Awanui,Te Hiku Ward,99051,Far North Community of Learning,173.254099,-35.03969,2,36,0,34,0,0,0,2,0
1007,Blomfield Special School and Resource Ctre,09 438 2105,09 438 3145,administration@blomfield.school.nz,Sally Wilkinson,http://www.blomfield.school.nz,31 Maunu Road,,Whangarei,P O Box 1139,,Whangarei,140,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Vinetown,Okara Ward,99182,Nga Kura mo te ako o Whangarei (Raki Whangarei) Kahui Ako Group 3,174.314314,-35.730665,3,109,35,68,3,2,1,0,0
1008,Dargaville Intermediate,09 439 8045,09 439 6450,office@dis.school.nz,Brendon Lucich,http://www.dis.school.nz/,Charlotte Street,,Dargaville,38 Charlotte Street,,Dargaville,310,Minor Urban Area,Intermediate,Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,,,173.865466,-35.933508,4,168,81,74,8,4,1,0,0
1009,Dargaville Primary School,09 439 7255,09 439 0246,office@dargavilleprimary.school.nz,Alan Russek,http://www.dargavilleprimary.school.nz,Portland St,,Dargaville,P O Box 75,,Dargaville,340,Minor Urban Area,Contributing,Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Dargaville,Dargaville Ward,,,173.86688,-35.939306,4,348,177,132,26,10,1,2,0
1011,Glenbervie School,09 437 5812,09 437 0296,office@glenbervie.school.nz,Braden Eades,http://www.glenbervie.school.nz,Ngunguru Road,,Glenbervie,Ngunguru Road RD 3,,Whangarei,173,Rural Area,Contributing,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Punaruku-Kiripaka,Hikurangi-Coastal Ward,99182,Nga Kura mo te ako o Whangarei (Raki Whangarei) Kahui Ako Group 3,174.347871,-35.675883,8,212,149,57,0,2,3,1,0
1013,Herekino School,09 409 3834,09 409 3880,reception@herekino.school.nz,Virginia Shortland,http://www.herekino.schoolzone.net.nz,Kaitaia-Awaroa Road,,Herekino,Kaitaia-Awaroa Road RD 1,,Kaitaia,481,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Herekino,Te Hiku Ward,99051,Far North Community of Learning,173.21125,-35.263626,2,27,0,26,1,0,0,0,0
1014,Hikurangi School,09 433 8545,09 433 8388,office@hikurangi.school.nz,Bruce Crawford,https://sites.google.com/site/hikurangischoolwebpage/,4 Swann Avenue,,Hikurangi,P O Box 25,,Hikurangi,150,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Hikurangi,Hikurangi-Coastal Ward,,,174.28727,-35.596131,2,230,68,155,1,4,2,0,0
1015,Hora Hora School (Te Mai),09 438 3080,,,Pat Newman,http://www.horahora.school.nz,22 Te Mai Road,Woodhill,Whangarei,22 Te Mai Road,Woodhill,Whangarei,110,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Woodhill,Okara Ward,,,174.308142,-35.736034,2,400,67,308,14,8,3,0,0
1016,Horeke School,09 401 9612,09 401 9612,admin@horeke.school.nz,Janine Tuta'i,,Horeke Road,,Okaihau,Horeke Road RD 1,,Okaihau,475,Rural Area,Contributing,Bilingual Year 7 and Year 8 School,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga South,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,173.579691,-35.360102,1,23,0,23,0,0,0,0,0
1017,Hukerenui School Years 1-8,09 433 9895,09 433 9895,office@hukerenui.school.nz,Bastienne Kruger,http://www.hukerenui.school.nz,Crows Nest Road,,Whangarei,Crows Nest Road RD 2,,Hikurangi,182,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Opouteke-Tanekaha,Hikurangi-Coastal Ward,,,174.196639,-35.520589,5,143,86,47,6,1,3,0,0
1018,Hurupaki School,09 435 0733,09 435 3671,office@hurupaki.school.nz,Robyn Posthumus,http://www.hurupaki.school.nz,20 Dip Road,Kamo,Whangarei,20 Dip Road,,Kamo,112,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo West,Hikurangi-Coastal Ward,99182,Nga Kura mo te ako o Whangarei (Raki Whangarei) Kahui Ako Group 3,174.289271,-35.687424,8,312,183,102,2,17,4,4,0
1019,Kaeo School,09 405 0099,09 405 0032,office@kaeo.school.nz,Paul Barker,http://www.kaeoprimary.school.nz/,State Highway 10,,Kaeo,P O Box 9,,Kaeo,448,Rural Area,Contributing,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaeo,Bay of Islands-Whangaroa Ward,,,173.788171,-35.100818,2,134,28,105,1,0,0,0,0
1020,Kaihu Valley School,09 439 0852,09 439 0852,cindy@kaihu.school.nz,Sonia Simeon,,Maropiu Road,,Dargaville,Maropiu Road RD 3,,Dargaville,373,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaipara Coastal,West Coast-Central Ward,99185,Northern Wairoa Kahui Ako,173.738754,-35.799333,2,17,0,16,1,0,0,0,0
